title,genre,final
Kimetsu no Yaiba,"['hành động', 'shounen', 'lịch sử', 'blu-ray', 'siêu nhiên', 'demons']",kimetsu no yaiba
Shingeki No Kyojin Attack On Titan,"['hành động', 'drama', 'shounen', 'fantasy', 'super power', 'mystery', 'military']",shingeki no kyojin attack on titan
Trinity Seven - Thất Tinh [BD],"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'shounen', 'harem', 'romance', 'fantasy', 'siêu nhiên']",trinity seven-thất tinh
Dragon Ball Super,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragon ball super
Tokyo Ghoul SS2,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']",tokyo ghoul
Kiseijuu: Sei no Kakuritsu,"['hành động', 'kinh dị', 'drama', 'viễn tưởng', 'seinen', 'psychological']",kiseijuu sei no kakuritsu
Yosuga No Sora BD,"['ecchi', 'drama', 'harem', 'romance']",yosuga no sora
Sword Art Online: Alicization,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online alicization
Sword Art Online [BD],"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online
Lớp Học Ám Sát - Assassination Classroom [Phần 1],"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên']",lớp học ám sát-assassination classroom
High School DxD BorN [SS3],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd born
One Punch Man 2,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']",one punch man
High School Dxd New [BD],"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd new
Hunter X Hunter 2011,"['hành động', 'phiêu lưu', 'shounen', 'fantasy', 'super power']",hunter x hunter 
Tokyo Ghoul [BD],"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']",tokyo ghoul
Shigatsu wa Kimi no Uso (Tháng tư là lời nói dối của em) [BD],"['drama', 'học đường', 'romance', 'blu-ray', 'âm nhạc']",shigatsu wa kimi no uso
World Trigger,"['hành động', 'viễn tưởng', 'siêu nhiên']",world trigger
Arifureta Shokugyou de Sekai Saikyou,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",arifureta shokugyou de sekai saikyou
Fairy Tail (2018),"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']",fairy tail
Kagaku Na Yatsura 18+,"['hài hước', 'ecchi', 'học đường', 'romance', 'viễn tưởng', 'seinen']",kagaku na yatsura
Log Horizon: Chân Trời Ký Lục,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game']",log horizon chân trời ký lục
Absolute Duo,"['hành động', 'ecchi', 'học đường', 'harem', 'romance', 'siêu nhiên']",absolute duo
Overlord II,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']",overlord ii
Kenja no Mago,"['hành động', 'hài hước', 'phép thuật', 'fantasy']",kenja no mago
Date A Live BD,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']",date a live
Đấu La Đại Lục,"['hành động', 'phiêu lưu', 'martial arts', 'hoạt hình trung quốc']",đấu la đại lục
Overlord III,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game', 'siêu nhiên']",overlord iii
Vua bếp Soma - Shokugeki no Souma [BD],"['ecchi', 'học đường', 'shounen', 'blu-ray']",vua bếp soma-shokugeki no souma
Jojos Bizarre Adventure: Stardust Crusaders,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']",jojos bizarre adventure stardust crusaders
Log Horizon: Chân Trời Ký Lục 2,"['hành động', 'phiêu lưu', 'phép thuật', 'fantasy', 'game']",log horizon chân trời ký lục
Yahari Ore No Seishun Love Come Wa Machigatteiru,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",yahari ore no seishun love come wa machigatteiru
Fate Stay Night,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']",fate stay night
Madan no Ou to Vanadis: Ma Đạn Đế Vương Biệt Chiến Cơ,"['ecchi', 'phiêu lưu', 'harem', 'romance', 'fantasy']",madan no ou to vanadis ma đạn đế vương biệt chiến cơ
Kuroko no Basket SS3,"['thể thao', 'học đường']",kuroko no basket
Seiken Tsukai no World Break,"['hành động', 'học đường', 'harem', 'romance', 'fantasy', 'siêu nhiên']",seiken tsukai no world break
Toriko,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy']",toriko
Re:Zero kara Hajimeru Isekai Seikatsu,"['drama', 'fantasy', 'psychological', 'thriller', 'xuyên không - chuyển kiếp']",re zero kara hajimeru isekai seikatsu
Nisekoi,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']",nisekoi
Gakusen Toshi Asterisk,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'viễn tưởng', 'fantasy', 'siêu nhiên']",gakusen toshi asterisk
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']",dungeon ni deai wo motomeru no wa machigatteiru darou ka
Kuroko No Basket,"['thể thao', 'học đường']",kuroko no basket
Date A Live Season 2,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']",date a live
One Piece Special 9 : Episode of Sabo,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special of sabo
Saenai Heroine no Sodatekata [BD],"['hài hước', 'drama', 'học đường', 'romance']",saenai heroine no sodatekata
Hyouka,"['học đường', 'đời thường', 'mystery']",hyouka
Magi: The Kingdom Of Magic [SS2],"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']",magi the kingdom of magic
Nozoki Ana BD,"['hài hước', 'ecchi', 'drama']",nozoki ana
Jujutsu Kaisen (TV),"['hành động', 'kinh dị', 'học đường', 'shounen', 'siêu nhiên', 'demons']",jujutsu kaisen
Kuroko No Basket 2,"['thể thao', 'học đường']",kuroko no basket
Hentai Ouji To Warawanai Neko,"['hài hước', 'học đường', 'harem', 'romance', 'siêu nhiên']",hentai ouji to warawanai neko
Death March kara Hajimaru Isekai Kyousoukyoku,"['phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",death march kara hajimaru isekai kyousoukyoku
Seirei Tsukai no Blade Dance,"['hành động', 'hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'fantasy', 'seinen', 'siêu nhiên']",seirei tsukai no blade dance
Kamen Rider Gaim,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']",kamen rider gaim
Haikyuu!!,"['hài hước', 'drama', 'thể thao', 'học đường', 'shounen']",haikyuu!!
One Punch Man,"['hành động', 'hài hước', 'viễn tưởng', 'seinen', 'super power', 'siêu nhiên', 'parody']",one punch man
Princess Connect! Re:Dive,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'phép thuật', 'drama', 'harem', 'romance', 'viễn tưởng', 'fantasy']",princess connect re dive
Boku Wa Tomodachi Ga Sukunai BD,"['hài hước', 'ecchi', 'học đường', 'harem', 'đời thường', 'romance']",boku wa tomodachi ga sukunai
Tensei shitara Slime Datta Ken 2nd Season,"['shounen', 'fantasy']",tensei shitara slime datta ken
Shinmai Maou no Keiyakusha BD,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']",shinmai maou no keiyakusha
Dororo,"['hành động', 'phiêu lưu', 'shounen', 'lịch sử', 'siêu nhiên', 'demons']",dororo
Pokemon (2019),"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']",pokemon
One Piece Special 6,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Grisaia no Kajitsu,"['drama', 'harem', 'romance', 'psychological']",grisaia no kajitsu
Isekai wa Smartphone to Tomo ni.,"['hài hước', 'phiêu lưu', 'phép thuật', 'harem', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']",isekai wa smartphone to tomo ni
Date A Live Ⅲ,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']",date a live ⅲ
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",isekai maou to shoukan shoujo no dorei majutsu
Black Bullet,"['hành động', 'viễn tưởng', 'seinen', 'mystery']",black bullet
High School DxD Hero,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd hero
Rokudenashi Majutsu Koushi to Akashic Records,"['hành động', 'phép thuật', 'học đường', 'fantasy']",rokudenashi majutsu koushi to akashic records
Katekyo Hitman Reborn,"['hành động', 'super power', 'siêu nhiên']",katekyo hitman reborn
Maken-ki! Bd,"['hành động', 'ecchi', 'học đường', 'harem', 'super power', 'martial arts']",maken-ki
To Love-ru Trouble Uncen [bd],"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']",to love-ru trouble uncen
Thần Vô Gia Cư [SS1-BD],"['hành động', 'phiêu lưu', 'shounen', 'blu-ray', 'siêu nhiên']",thần vô gia cư
Bakemonogatari [BD],"['hài hước', 'siêu nhiên', 'mystery']",bakemonogatari
One Piece: Z,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece z
One Piece 3D: Straw Hat Chase,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece 3d straw hat chase
Sword Art Online II [BD],"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online ii
One Piece Film: Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece film gold
Plunderer,"['hành động', 'ecchi', 'shounen', 'fantasy']",plunderer
Ore-tachi Ni Tsubasa Wa Nai [BD],"['hài hước', 'ecchi', 'drama', 'harem', 'romance', 'dementia']",ore-tachi ni tsubasa wa nai
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai [BD],"['hài hước', 'ecchi', 'học đường']",shimoneta to iu gainen ga sonzai shinai taikutsu na sekai
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['hài hước', 'học đường', 'romance', 'seinen', 'psychological']",kaguya-sama wa kokurasetai tensai-tachi no renai zunousen
One Piece Special 8,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Sword Art Online: Alicization - Đại Chiến Underworld,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online alicization-đại chiến underworld
Chuunibyou Demo Koi Ga Shitai,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",chuunibyou demo koi ga shitai
Sakurasou No Pet Na Kanojo [BD],"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",sakurasou no pet na kanojo
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['hài hước', 'đời thường']",ore no imouto ga konnani kawaii wake ga nai
Monster Musume no Iru Nichijou [BD],"['hài hước', 'ecchi', 'harem', 'romance', 'blu-ray', 'fantasy', 'seinen']",monster musume no iru nichijou
One Piece: Strong World,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece strong world
Angel Beats! [BD],"['hành động', 'hài hước', 'drama', 'học đường', 'siêu nhiên']",angel beats
The Best Of One Piece,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",the best of one piece
Inou-Batoru wa Nichijou-kei no Naka de,"['hài hước', 'học đường', 'romance', 'siêu nhiên']",inou-batoru wa nichijou-kei no naka de
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['hài hước', 'học đường', 'romance']",youkoso jitsuryoku shijou shugi no kyoushitsu e
IS: Infinite Stratos 1,"['hành động', 'hài hước', 'ecchi', 'mecha', 'harem', 'viễn tưởng']",is infinite stratos
Fate/stay night: Unlimited Blade Works (2014-2015),"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']",fate stay night unlimited blade works
One Piece Ova 1,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece ova
Shinmai Maou no Testament Burst [BD],"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']",shinmai maou no testament burst
Fate/Zero BD,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']",fate zero
Sword Art Online: Alicization - Đại Chiến Underworld 2,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online alicization-đại chiến underworld
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']",yahari ore no seishun love comedy wa machigatteiru zoku
One Piece Special 7,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Sử Thi Về Một Hiệp Sĩ Lưu Ban,"['hành động', 'học đường', 'romance', 'fantasy']",sử thi về một hiệp sĩ lưu ban
Arifureta Shokugyou de Sekai Saikyou 2nd Season,"['hành động', 'phiêu lưu', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",arifureta shokugyou de sekai saikyou
One Piece Glorious Island,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece glorious island
Boku no Hero Academia 2nd Season,"['hành động', 'học đường', 'super power']",boku no hero academia
Quan Zhi Gao Shou,"['hành động', 'game', 'hoạt hình trung quốc']",quan zhi gao shou
Mirai Nikki Gasai Yuno [BD],"['hành động', 'shounen', 'siêu nhiên', 'mystery', 'psychological', 'thriller']",mirai nikki gasai yuno
Beelzebub,"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên', 'demons']",beelzebub
One Piece Special 3,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Highschool Of The Dead Uncensor [bd],"['hành động', 'ecchi', 'kinh dị', 'blu-ray', 'siêu nhiên']",highschool of the dead
Seikon No Qwaser,"['hành động', 'ecchi', 'seinen', 'super power', 'siêu nhiên']",seikon no qwaser
Yu-Gi-Oh! Arc-V,"['hành động', 'shounen', 'fantasy', 'game']",yu-gi-oh arc-v
One Piece Special 1,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Dragon Ball Z,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragon ball z
One Piece Special 4,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Doraemon New Series [3f Fansub],"['hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'kid']",doraemon
One Piece: The Great Gold Pirate,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece the great gold pirate
Kono Subarashii Sekai ni Shukufuku wo!,"['hài hước', 'phiêu lưu', 'phép thuật', 'fantasy', 'siêu nhiên', 'parody']",kono subarashii sekai ni shukufuku wo
No Game No Life BD,"['drama', 'romance', 'fantasy', 'game', 'siêu nhiên']",no game no life
Nanatsu no Taizai: Thất Hình Đại Tội 2nd Season,"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy', 'siêu nhiên']",nanatsu no taizai thất hình đại tội
Gotoubun no Hanayome,"['hài hước', 'học đường', 'shounen', 'harem', 'romance']",gotoubun no hanayome
Yu-gi-oh ! Zexal - Yugioh Zexal,"['hành động', 'shounen', 'fantasy', 'game']",yu-gi-oh zexal-yugioh zexal
Kiss X Sis (TV),"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'seinen']",kiss x sis
Nande Koko ni Sensei ga!?,"['hài hước', 'ecchi', 'học đường', 'seinen']",nande koko ni sensei ga
One Piece Special 2,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Akatsuki no Yona (Yona Của Bình Minh),"['phiêu lưu', 'romance', 'fantasy', 'shoujo']",akatsuki no yona
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['hài hước', 'học đường', 'romance', 'siêu nhiên']",seishun buta yarou wa bunny girl senpai no yume wo minai
"Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.","['ecchi', 'romance', 'josei']",shuudengo capsule hotel de joushi ni binetsu tsutawaru yoru.
Araiya-san!: Ore to Aitsu ga Onnayu de!?,"['hài hước', 'ecchi', 'romance']",araiya-san ore to aitsu ga onnayu de
Boku no Hero Academia 3rd Season,"['hành động', 'học đường', 'super power']",boku no hero academia
One Piece: The Giant Mechanical Soldier of Karakuri Castle,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece the giant mechanical soldier of karakuri castle
One Piece Ova 2,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece ova
Mahou Sensou - Magical Warface,"['hành động', 'phép thuật', 'viễn tưởng']",mahou sensou-magical warface
One Piece: Heart of Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy']",one piece heart of gold
Ichiban Ushiro no Daimaou,"['hành động', 'hài hước', 'ecchi', 'phép thuật', 'học đường', 'harem', 'fantasy']",ichiban ushiro no daimaou
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri [BD]","['hành động', 'phiêu lưu', 'fantasy', 'military']",gate: jieitai kanochi nite kaku tatakaeri
One Piece: The Cursed Holy Sword,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece the cursed holy sword
 Maou Gakuin no Futekigousha,"['phép thuật', 'học đường', 'viễn tưởng']",maou gakuin no futekigousha
One Piece Special 5,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece special
Saijaku Muhai no Bahamut,"['hành động', 'ecchi', 'mecha', 'học đường', 'harem', 'romance', 'fantasy', 'siêu nhiên']",saijaku muhai no bahamut
One Piece: Dead End Adventure,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece dead end adventure
Guilty Crown,"['hành động', 'drama', 'romance', 'viễn tưởng', 'super power']",guilty crown
Jojos Bizarre Adventure,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']",jojos bizarre adventure
One Piece: Clockwork Island Adventure,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece clockwork island adventure
"One Piece: Episode of Chopper Plus: Bloom in Winter, Miracle Sakura","['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece: episode of chopper plus: bloom in winter miracle sakura
Magi: The Labyrinth of Magic [SS1],"['hành động', 'phiêu lưu', 'phép thuật', 'shounen', 'fantasy']",magi the labyrinth of magic
Kono Subarashii Sekai ni Shukufuku wo! 2,"['hài hước', 'phiêu lưu', 'phép thuật', 'fantasy', 'siêu nhiên', 'parody']",kono subarashii sekai ni shukufuku wo
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance']",kawaikereba hentai demo suki ni natte kuremasu ka
Charlotte,"['drama', 'học đường', 'super power']",charlotte
Masou Gakuen HxH Blu-ray,"['ecchi', 'harem', 'blu-ray']",masou gakuen hxh
One Piece: Episode of Alabasta: The Desert Princess,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece episode of alabasta the desert princess
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['hành động', 'hài hước', 'ecchi', 'phiêu lưu', 'romance', 'fantasy']",dungeon ni deai wo motomeru no wa machigatteiru darou ka ii
Grappler Baki,"['hành động', 'shounen', 'martial arts']",grappler baki
Isekai No Seikishi Monogatari,"['hành động', 'hài hước', 'ecchi', 'mecha', 'học đường', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",isekai no seikishi monogatari
One Piece: Phần Về Biển Đông,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece phần về biển đông
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['hành động', 'phép thuật', 'fantasy', 'siêu nhiên']",fate grand order zettai majuu sensen babylonia
Biệt Đội Lính Cứu Hỏa,"['hành động', 'shounen', 'viễn tưởng']",biệt đội lính cứu hỏa
Lớp Học Ám Sát - Assassination Classroom [Phần 2],"['hành động', 'hài hước', 'học đường', 'shounen', 'siêu nhiên']",lớp học ám sát-assassination classroom
One Piece: Baron Omatsuri and the Secret Island,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece baron omatsuri and the secret island
One Piece: Chopper's Kingdom on the Island of Strange,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece chopper's kingdom on the island of strange
Taimadou Gakuen 35 Shiken Shoutai,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'siêu nhiên', 'military']",taimadou gakuen 35 shiken shoutai
Zero No Tsukaima SS1,"['ecchi', 'phiêu lưu', 'phép thuật', 'romance', 'fantasy']",zero no tsukaima
Toaru Majutsu No Index,"['hành động', 'phép thuật', 'viễn tưởng', 'super power']",toaru majutsu no index
One Piece: Episode of Sorajima,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece episode of sorajima
To LOVE-Ru Darkness BD,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']",to love-ru darkness
Masou Gakuen HxH Special,"['ecchi', 'harem', 'blu-ray']",masou gakuen hxh special
Boku no Hero Academia,"['hành động', 'học đường', 'super power']",boku no hero academia
Owari no Seraph [BD],"['drama', 'shounen', 'siêu nhiên', 'vampire']",owari no seraph
Netoge no Yome wa Onnanoko ja Nai to Omotta?,"['hài hước', 'ecchi', 'học đường', 'romance', 'game']",netoge no yome wa onnanoko ja nai to omotta
Inuyasha,"['hành động', 'hài hước', 'phiêu lưu', 'phép thuật', 'shounen', 'romance', 'lịch sử', 'fantasy', 'siêu nhiên', 'demons']",inuyasha
Grand Blue,"['hài hước', 'đời thường', 'seinen']",grand blue
One Piece: Adventure of Nebulandia - Cuộc Phiêu Lưu Đến Vùng Đất Nebulandia,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece adventure of nebulandia-cuộc phiêu lưu đến vùng đất nebulandia
High School Dxd Specials,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']",high school dxd specials
Kamen Rider Drive,"['hành động', 'tokusatsu', 'super power', 'siêu nhiên']",kamen rider drive
Sousei no Onmyouji,"['hành động', 'shounen', 'romance', 'fantasy', 'siêu nhiên']",sousei no onmyouji
Shokugeki no Souma: Ni no Sara,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no souma ni no sara
Detective Conan Movie [01 - 22],"['hài hước', 'phiêu lưu', 'shounen', 'mystery', 'police']",detective conan movie
JoJo no Kimyou na Bouken: Ougon no Kaze,"['hành động', 'phiêu lưu', 'drama', 'shounen', 'siêu nhiên']",jojo no kimyou na bouken ougon no kaze
One Piece TV Special: Phần Về Đảo Trên Trời Skypiea,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']",one piece tv special phần về đảo trên trời skypiea
Hagure Yuusha No Estetica BD,['đang cập nhật'],hagure yuusha no estetica
Isekai Maou to Shoukan Shoujo no Dorei Majutsu BD,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']",isekai maou to shoukan shoujo no dorei majutsu
Ore No Imouto Ga Konnani Kawaii Wake Ga Nai SS2 BD,"['hài hước', 'đời thường']",ore no imouto ga konnani kawaii wake ga nai
Tokyo Ghoul:re 2nd Season,"['hành động', 'kinh dị', 'drama', 'seinen', 'siêu nhiên', 'mystery', 'psychological']",tokyo ghoul re
Sword Art Online Movie: Ordinal Scale,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art online movie ordinal scale
Dragon Ball Kai,"['hành động', 'hài hước', 'phiêu lưu', 'shounen', 'fantasy', 'super power', 'martial arts']",dragon ball kai
Toradora BD,"['hành động', 'drama', 'viễn tưởng', 'seinen', 'space']",toradora
Sword Art Offline,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']",sword art offline
Gakusen Toshi Asterisk 2nd Season,"['hài hước', 'ecchi', 'học đường', 'harem', 'romance', 'viễn tưởng', 'fantasy', 'siêu nhiên']",gakusen toshi asterisk
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['drama', 'fantasy', 'psychological', 'thriller', 'xuyên không - chuyển kiếp']",re zero kara hajimeru isekai seikatsu
Code Geass: Hangyaku No Lelouch R1,"['hành động', 'mecha', 'học đường', 'viễn tưởng', 'super power', 'military']",code geass hangyaku no lelouch r1
Shokugeki no Souma: San no Sara,"['ecchi', 'học đường', 'shounen', 'blu-ray']",shokugeki no souma san no sara
