clean_query,top_r1,top_title1,top_r2,top_title2,sum,length
đao kiếm thần vực,100,đao kiếm thần vực,100,sword art online đao kiếm thần vực,200,17
haikyuu,100,haikyuu,100,haikyuu,200,7
dragon ball super,100,dragon ball super,100,dragon ball super,200,17
bloom into you,100,bloom into you,100,bloom into you,200,14
manyuu hikenchou,100,manyuu hikenchou,100,manyuu hikenchou specials,200,16
đảo hải tặc,100,đảo hải tặc,100,đảo hải tặc,200,11
grand blue,100,grand blue,100,grand blue,200,10
yosuga no sora,100,yosuga no sora,100,yosuga no sora,200,14
doraemon,100,doraemon,100,doraemon movie,200,8
đại vương tha mạng,100,đại vương tha mạng,100,đại vương tha mạng,200,18
vào ma giới rồi đấy iruma-kun,100,vào ma giới rồi đấy iruma-kun,100,welcome to demon school iruma-kun vào ma giới rồi đấy iruma-kun,200,29
horimiya,100,horimiya,100,horimiya,200,8
kimetsu no yaiba,100,kimetsu no yaiba,100,kimetsu no yaiba,200,16
ma đạo tổ sư,100,ma đạo tổ sư,100,ma đạo tổ sư,200,12
psycho pass,100,psycho pass,100,psycho-pass,200,11
lycoris recoil,100,lycoris recoil,100,lycoris recoil,200,14
kingdom,100,kingdom,100,one piece chopper's kingdom on the island of strange,200,7
tinh võ thần quyết,100,tinh võ thần quyết,100,tinh võ thần quyết,200,18
bách quỷ dạ hành,100,bách quỷ dạ hành,100,bách quỷ dạ hành,200,16
yugioh zexal,100,yugioh zexal,100,yu-gi-oh zexal-yugioh zexal,200,12
sword art online,100,sword art online,100,sword art online progressive movie-hoshi naki yoru no aria,200,16
vô thượng thần đế,100,vô thượng thần đế,100,vô thượng thần đế,200,17
pokemon,100,pokemon,100,pokemon,200,7
nisemonogatari,100,nisemonogatari,100,nisemonogatari,200,14
yugioh,100,yugioh,100,yu-gi-oh-yugioh,200,6
detective conan,100,detective conan,100,detective conan movie,200,15
bạn gái thuê,100,bạn gái thuê,100,bạn gái thuê,200,12
ta muốn trở thành chúa tể bóng tối,100,ta muốn trở thành chúa tể bóng tối,100,ta muốn trở thành chúa tể bóng tối shadow garden the eminence in shadow,200,34
vạn giới tiên tung,100,vạn giới tiên tung,100,vạn giới tiên tung,200,18
linh kiếm tôn,100,linh kiếm tôn,100,linh kiếm tôn,200,13
kuroko no basket,100,kuroko no basket,100,kuroko no basket,200,16
fairy tail,100,fairy tail,100,fairy tail,200,10
nhân gian đắc ý nhất,100,nhân gian đắc ý nhất,100,nhân gian đắc ý nhất,200,20
bleach,100,bleach,100,bleach sennen kessen-hen,200,6
kuzu no honkai,100,kuzu no honkai,100,kuzu no honkai,200,14
bleach huyết chiến ngàn năm,100,bleach huyết chiến ngàn năm,100,bleach,200,27
thôn phệ tinh không,100,thôn phệ tinh không,100,thôn phệ tinh không,200,19
yondemasu yo azazel-san,100,yondemasu yo azazel-san,100,yondemasu yo azazel-san,200,23
nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,200,19
ký túc xá nữ thần,100,ký túc xá nữ thần,100,ký túc xá nữ thần,200,17
one piece,100,one piece,100,one piece movie 14 stampede,200,9
tokyo ghoul,100,tokyo ghoul,100,tokyo ghoul,200,11
gửi em người bất tử,100,gửi em người bất tử,100,gửi em người bất tử,200,19
fate stay night,100,fate stay night,100,fate stay night,200,15
học viện anh hùng,100,học viện anh hùng,100,học viện anh hùng,200,17
nghịch thiên chí tôn,100,nghịch thiên chí tôn,100,nghịch thiên chí tôn,200,20
cyberpunk edgerunners,100,cyberpunk edgerunners,100,cyberpunk edgerunners,200,21
steven universe,100,steven universe,100,steven universe,200,15
7 viên ngọc rồng,100,7 viên ngọc rồng,100,7 viên ngọc rồng,200,16
đứa con của thời tiết,100,đứa con của thời tiết,100,đứa con của thời tiết,200,21
cuộc sống thường ngày của tiên vương,100,cuộc sống thường ngày của tiên vương,100,cuộc sống thường ngày của tiên vương,200,36
black clover,100,black clover,100,black clover,200,12
akame ga kill,100,akame ga kill,100,akame ga kill,200,13
akatsuki no yona,100,akatsuki no yona,100,akatsuki no yona,200,16
berserk,100,berserk,100,berserk ougon jidai-hen-memorial edition,200,7
kamen rider zero one,100,kamen rider zero one,100,kamen rider zero-one,200,20
ajin,100,ajin,100,ajin,200,4
hẹn hò chốn công sở,100,hẹn hò chốn công sở,100,hẹn hò chốn công sở,200,19
k,100,k,100,nhật ký thường ngày của tiên vương,200,1
hunter x hunter,100,hunter x hunter,100,hunter x hunter ,200,15
rezero,100,rezero,100,re life in a different world from zero rezero re zero-starting life in another world,200,6
kamen rider ryuki,100,kamen rider ryuki,100,kamen rider ryuki,200,17
thế giới hoàn mỹ,100,thế giới hoàn mỹ,100,thế giới hoàn mỹ,200,16
tây du ký,100,tây du ký,100,k,200,9
bakuman,100,bakuman,100,bakuman live-action,200,7
high school dxd,100,high school dxd,100,high school dxd,200,15
tây hành kỷ,100,tây hành kỷ,100,tây hành kỷ,200,11
dragon ball,100,dragon ball,100,dragon ball super,200,11
tuyệt thế võ hồn,100,tuyệt thế võ hồn,100,tuyệt thế võ hồn,200,16
rồng ăn cỏ bị mang tiếng ác,100,rồng ăn cỏ bị mang tiếng ác,100,rồng ăn cỏ bị mang tiếng ác,200,27
đại chiến người và thần,100,đại chiến người và thần,100,đại chiến người và thần,200,23
toàn chức cao thủ,100,toàn chức cao thủ,100,toàn chức cao thủ,200,17
omamori himari,100,omamori himari,100,omamori himari,200,14
blue lock,100,blue lock,100,blue lock,200,9
bách yêu phổ,100,bách yêu phổ,100,bách yêu phổ 3-kinh sư thiên,200,12
thần ấn vương tọa,100,thần ấn vương tọa,100,thần ấn vương tọa,200,17
tuyết ưng lĩnh chủ,100,tuyết ưng lĩnh chủ,100,tuyết ưng lĩnh chủ,200,18
kamen rider revice,100,kamen rider revice,100,kamen rider revice,200,18
toàn chức pháp sư,100,toàn chức pháp sư,100,toàn chức pháp sư,200,17
đấu phá thương khung,100,đấu phá thương khung,100,đấu phá thương khung,200,20
naruto,100,naruto,100,boruto naruto next generations,200,6
tao muốn trở thành chúa tể bóng tối,99,ta muốn trở thành chúa tể bóng tối,98,ta muốn trở thành chúa tể bóng tối,197,35
dragon ball heroese,97,dragon ball heroes,100,dragon ball,197,19
naruto shippuden,97,naruto shippuuden,100,naruto,197,16
pocet monsters,97,pocket monsters,97,pocket monsters,194,14
tokyo revenges,97,tokyo revengers,97,tokyo revengers,194,14
chaisaw man,96,chainsaw man,96,chainsaw man,192,11
tôi muốn trở thành chúa tể bóng tối,96,ta muốn trở thành chúa tể bóng tối,97,ta muốn trở thành chúa tể bóng tối,193,35
chansaw man,96,chainsaw man,96,chainsaw man,192,11
chainsawman,96,chainsaw man,96,chainsaw man,192,11
chainssaw man,96,chainsaw man,96,chainsaw man,192,13
once punch man,96,one punch man,96,one punch man,192,14
saikin yatotta meido ga ayashii,95,saikin yatotta maid ga ayashii,95,saikin yatotta maid ga ayashii,190,31
ác nữ phản diện bao nuôi trùm cuối,95,nữ phản diện bao nuôi trùm cuối,100,c³,195,34
beasttamer,95,beast tamer,95,beast tamer,190,10
to love ru darkness,95,to love-ru darkness,100,to love-ru darkness,195,19
renai flop,95,renai flops,95,renai flops,190,10
dragon bal,95,dragon ball,95,dragon ball,190,10
tiên võ thương khung,95,tiên vũ thương khung,97,tiên vũ thương khung,192,20
high school dxd 4,94,high school dxd,100,high school dxd,194,17
onepiece,94,one piece,94,one piece,188,8
tôi trở nên mạnh hơn nhờ nâng cấp các kỹ năng của nông dân tóm tắt,94,tôi trở nên mạnh hơn nhờ nâng cấp các kỹ năng của nông dân,100,tôi trở nên mạnh hơn nhờ nâng cấp các kỹ năng của nông dân,194,66
vũ đông càn khôn,94,vũ động càn khôn,96,vũ động càn khôn,190,16
cuộc sống hằng ngày của tiên vương,94,cuộc sống thường ngày của tiên vương,94,cuộc sống thường ngày của tiên vương,188,34
đâu la đại lục,93,đấu la đại lục,96,đấu la đại lục,189,14
mod psycho 100,93,mob psycho 100,93,mob psycho 100,186,14
doreamon,93,doremon,93,doremon,186,8
monstera,93,monster,93,monster,186,8
nhất niệm vĩnh hằng 73,93,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,193,22
0pokemon,93,pokemon,93,pokemon,186,8
cạo râu xong tôi dắt gái về nhà,92,cạo râu xong tôi nhặt gái về nhà,92,i shaved then i brought a high school girl home higehiro cạo râu xong tôi nhặt gái về nhà,184,31
re zero,92,rezero,100,re zero kara hajimeru isekai seikatsu,192,7
fuufu ijou koibito mima mâng,92,fuufu ijou koibito miman,94,fuufu ijou koibito miman,186,28
ta luyện khí 3000 năm,92,luyện khí 3000 năm,100,luyện khí 3000 năm,192,21
chainsaw-man,92,chainsaw man,100,chainsaw man,192,12
học viện anh hùng iq,92,học viện anh hùng,100,học viện anh hùng,192,20
doraemon 03,91,doraemon 3d,100,doraemon,191,11
thế giới hoàn mỹ 86,91,thế giới hoàn mỹ,100,thế giới hoàn mỹ,191,19
attack on titan pc,91,attack on titan,100,attack on titan,191,18
beach,91,bleach,100,the stranger by the beach umibe no étranger,191,5
spyxfamily,91,spy x family,95,spy×family,186,10
ta muốn trở thành chúa tể bóng tối truyen,91,ta muốn trở thành chúa tể bóng tối,100,ta muốn trở thành chúa tể bóng tối,191,41
tân tuyệt đại song kiều,90,tuyệt đại song kiều,100,tuyệt đại song kiều,190,23
tôi muốn chở thành chúa tể bóng tối,90,ta muốn trở thành chúa tể bóng tối,87,ta muốn trở thành chúa tể bóng tối shadow garden the eminence in shadow,177,35
shokugeki soma,90,shokugeki no soma,100,vua bếp soma-shokugeki no souma,190,14
hiệu thuốc ở dị giới,90,hiệu thuốc tại dị giới,95,hiệu thuốc tại dị giới,185,20
kimetsu yaiba,90,kimetsu no yaiba,100,kimetsu no yaiba,190,13
ed ousama ranking,90,ousama ranking,100,ousama ranking,190,17
hero academia,90,my hero academia,100,boku no hero academia,190,13
sword art online mal,89,sword art online,100,sword art online,189,20
chainsaw man cc,89,chainsaw man,100,chainsaw man,189,15
one picce,89,one piece,89,one piece,178,9
dragon ball super hero,89,dragon ball super broly,100,dragon ball super,189,22
warm,89,swarm,89,swarm,178,4
chuyển sinh thành slime,89,chuyển sinh thành kiếm,100,vào ngày đó tôi đã chuyển sinh thành con slime,189,23
luyện thể 3000 năm,89,luyện khí 3000 năm,91,luyện khí 3000 năm,180,18
thất tình,89,thất tinh,94,thất tinh,183,9
mairimashita iruma kun p3,89,mairimashita iruma-kun,100,mairimashita iruma-kun,189,25
maika,89,aika,89,aika,178,5
nguyệt đọa dị giới,89,nguyệt đạo dị giới,89,nguyệt đạo dị giới,178,18
tru tien,88,tru tiên,93,tru tiên,181,8
chawisawn man,88,chainsaw man,88,chainsaw man,176,13
nhất niệm vĩnh hằng phim,88,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,188,24
onepice,88,one piece,88,one piece,176,7
mis teen universe,88,steven universe,88,steven universe,176,17
mykingdom,88,kingdom,88,kingdom,176,9
samurai,88,samurai x,100,hyakka ryouran samurai girls,188,7
my dress-up darling wall,88,my dress-up darling,100,my dress-up darling,188,24
tôi không muốn trở thành chúa tể bóng tối,88,ta muốn trở thành chúa tể bóng tối,95,ta muốn trở thành chúa tể bóng tối,183,41
truyện lực bạt sơn hà hề tử đường,88,lực bạt sơn hà hề tử đường,100,lực bạt sơn hà hề tử đường,188,33
one piece film red,88,one piece film z,100,one piece,188,18
hot girl,88,aho girl,88,aho girl,176,8
đọc tensei shitara ken deshita wn,88,tensei shitara ken deshita,100,tensei shitara ken deshita,188,33
đấu la đại lục 180,88,đấu la đại lục,100,đấu la đại lục,188,18
đô rê mon,88,đôrêmon,62,mèo đen,150,9
thất đại tội,86,sin thất đại tội,100,nanatsu no taizai thất hình đại tội,186,12
healer bao thu,86,healer báo thù,92,healer báo thù,178,14
one piece movie,86,one piece ova,100,one piece movie 14 stampede,186,15
chain saw man 64,86,chainsaw man,86,chainsaw man,172,16
chainsaw man 112,86,chainsaw man,100,chainsaw man,186,16
gabi attack on titan,86,attack on titan,100,attack on titan,186,20
dỏeamon,86,deaimon,86,deaimon,172,7
aki,86,baki,100,aki sora,186,3
songuku,86,songoku,86,songoku,172,7
kamen rider revice movie,86,kamen rider revice,100,kamen rider revice,186,24
đọc chainsaw man,86,chainsaw man,100,chainsaw man,186,16
chainsaw man tập,86,chainsaw man,100,chainsaw man,186,16
tokyo revengers phim,86,tokyo revengers,100,tokyo revengers,186,20
chainsaw man xxx,86,chainsaw man,100,chainsaw man,186,16
bleach 2,86,bleach,100,bleach,186,8
yugi h5,86,yugi oh,86,yugi oh,172,7
huyết chiến ngàn năm,85,bleach huyết chiến ngàn năm,100,bleach huyết chiến ngàn năm,185,20
đấu phá thương khung truyện,85,đấu phá thương khung,100,đấu phá thương khung,185,27
thám tử lừng danh conan movi 25,85,thám tử lừng danh conan,100,thám tử lừng danh conan,185,31
kamen rider geats,85,kamen rider gaim,92,kamen rider w,177,17
jujutsu kaisen chap,85,jujutsu kaisen,100,jujutsu kaisen,185,19
cuộc chiến người và thần,85,đại chiến người và thần,90,đại chiến người và thần,175,24
truyen nhất niệm vĩnh hằng,84,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,184,26
dow nhất niệm vĩnh hằng p2,84,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,184,26
truyện tuyệt đại song kiều,84,tuyệt đại song kiều,100,tuyệt đại song kiều,184,26
long tộc tq,84,long tộc,100,long tộc,184,11
date a live game,84,date a live ova,100,date a live,184,16
ms project,84,k project,88,k project,172,10
osomatsu,84,mr osomatsu,100,osomatsu-san,184,8
remix kimetsu no yaiba,84,kimetsu no yaiba,100,kimetsu no yaiba,184,22
one punch man phim,84,one punch man,100,one punch man,184,18
truyện seraph of the end,83,seraph of the end,100,seraph of the end,183,24
black clover chap,83,black clover,100,black clover,183,17
one piece red,83,one piece z,100,one piece,183,13
truyện phàm nhân tu tiên,83,phàm nhân tu tiên,100,phàm nhân tu tiên,183,24
reliea,83,relife,83,relife,166,6
one piece chế,83,one piece z,100,one piece,183,13
bạn gái thuê chap,83,bạn gái thuê,100,bạn gái thuê,183,17
fubuki,83,fuukoi,83,fuukoi,166,6
serena,83,seiren,83,seiren,166,6
s1 girls collection,83,fleet girls collection,91,fleet girls collection kancolle,174,19
chainsaw man chap,83,chainsaw man,100,chainsaw man,183,17
thams tuw lung danh conan,83,thám tử lừng danh conan,85,thám tử lừng danh conan,168,25
daragon ball blo,83,dragon ball z,81,dragon ball,164,16
truyện dragon ball super,83,dragon ball super,100,dragon ball super,183,24
tgamer,83,gamers,83,gamers,166,6
sword art online vs apk,82,sword art online,100,sword art online,182,23
chuien sinh thanh kiem,82,chuyển sinh thành kiếm,84,chuyển sinh thành kiếm,166,22
thụ tinh,82,thất tinh,82,thất tinh,164,8
movie jujutsu kaisen,82,jujutsu kaisen,100,jujutsu kaisen,182,20
thần ấn vượng toạ,82,thần ấn vương tọa,82,thần ấn vương tọa,164,17
đọc one piece,82,one piece,100,one piece,182,13
songoku 14,82,songoku,100,songoku,182,10
re monster,82,monster,100,monster,182,10
blackmod,82,black god,82,black god,164,8
monster tv,82,monster,100,monster,182,10
pokemon go,82,pokemon,100,pokemon,182,10
vua hai tac,82,vua hải tặc,82,vua hải tặc,164,11
siêu nhân,82,siêu nhân gao,100,lão hạc siêu nhân,182,9
ve pokemon,82,pokemon,100,pokemon,182,10
uta one piece,82,one piece,100,one piece,182,13
chuyện tình công sở,81,chuyện tình cô trò,81,chuyện tình cô trò,162,19
thần ấn vương tọa hhpanda,81,thần ấn vương tọa,100,thần ấn vương tọa,181,25
vua hải tặc 1031,81,vua hải tặc,100,vua hải tặc,181,16
pokemon violet,81,pokemon movie,100,pokemon,181,14
nhật ký hằng ngày của tiên vương truyện chữ,81,nhật ký thường ngày của tiên vương,100,k,181,43
fera dragon ball,81,dragon ball,100,dragon ball,181,16
couter strike,81,monster strike,81,monster strike,162,13
7 viên ngọc rồng siêu cấp,81,7 viên ngọc rồng ,100,7 viên ngọc rồng,181,25
game 7 viên ngọc rồng 2 9,81,7 viên ngọc rồng ,100,7 viên ngọc rồng,181,25
đấu la đai lục 235,81,đấu la đại lục,83,đấu la đại lục,164,18
hotgirl,80,aho girl,80,aho girl,160,7
teen,80,teppen,100,teen titans,180,4
cube,80,c cube,100,c3 cube x cursed x curious,180,4
one piece 1067,80,one piece z,100,one piece,180,14
sex irene,80,seiren,54,summertime render,134,9
fa,80,fma,100,quan zhi fa shi full-time magister quanzhi fashi,180,2
power chainsaw man,80,chainsaw man,100,chainsaw man,180,18
one piece 1039,80,one piece z,100,one piece,180,14
raid chainsaw main,80,chainsaw man,80,chainsaw man,160,18
dỏaemon,80,doraemon,80,doraemon,160,7
shawdow house com,80,shadows house,80,shadows house,160,17
iren,80,seiren,80,seiren,160,4
naruto 18,80,naruto,100,naruto,180,9
game,80,gamers,100,digimon ghost game,180,4
vision,80,revisions,80,revisions,160,6
k8,80,sk8,80,sk8,160,2
zero,80,rezero,100,re zero kara hajimeru isekai seikatsu,180,4
ma,80,fma,100,ma vương đi làm,180,2
boom,80,btooom,80,btooom,160,4
one piece phim,80,one piece z,100,one piece,180,14
trò chơi,80,vua trò chơi,100,vua trò chơi,180,8
naruto ino,80,naruto ova,100,naruto,180,10
tokyo hot,80,tokyo ghoul,80,tokyo ghoul,160,9
tuyết ưng lĩnh chủ hứa khải,80,tuyết ưng lĩnh chủ,100,tuyết ưng lĩnh chủ,180,27
tb,80,dtb,80,dtb,160,2
pokemon scarlet,80,pokemon special,100,pokemon,180,15
kamen rider rule34,80,kamen rider build,92,kamen rider w,172,18
zombieland,80,zombieland saga,100,zombieland saga,180,10
bloop,80,blood,80,blood,160,5
to,80,gto,100,yuusha party wo tsuihou sareta beast tamer saikyoushu no nekomimi shoujo to deau,180,2
blacka,80,black cat,80,black cat,160,6
desire,80,dies irae,80,dies irae,160,6
regzing,80,freezing,80,freezing,160,7
kanaria,80,kanokari,80,kanokari,160,7
man club,80,ryman's club,80,ryman's club,160,8
truyện đấu la đại lục,80,đấu la đại lục,100,đấu la đại lục,180,21
go,80,gto,100,natsume yuujinchou go tokubetsuhen,180,2
pokemon revolution online,79,pokemon evolutions,100,pokemon,179,25
tokyo revengers dừa sáp,79,tokyo revengers,100,tokyo revengers,179,23
nhat niem vinh hang,79,nhất niệm vĩnh hằng,79,nhất niệm vĩnh hằng,158,19
tin tức thế giới,79,xin chào thế giới,71,thế giới hoàn mỹ,150,16
truyện one punch man,79,one punch man,100,one punch man,179,20
mất trinh,78,thất tinh,78,thất tinh,156,9
mugen sword art online v2,78,sword art online,100,sword art online,178,25
kamen rider chinese,78,kamen rider saber,92,kamen rider w,170,19
silver smoke,78,silver soul,78,silver soul,156,12
đọc truyện đấu phá thương khung,78,đấu phá thương khung,100,đấu phá thương khung,178,31
jav pokemon,78,pokemon,100,pokemon,178,11
kuroko tuyển thủ vô hình,78,tuyền thủ vô hình,81,kuruko tuyển thủ vô hình trận đấu cuối cùng,159,24
nami one piece,78,one piece,100,one piece,178,14
ảnh pokemon,78,pokemon,100,pokemon,178,11
siêu nhân cuồng phong,78,siên nhân nhẫn phong,78,siêu nhân gao,156,21
chiến hạm,78,chiến khu,78,chiến khu,156,9
game one piece,78,one piece,100,one piece,178,14
one pice red,78,one piece z,78,one piece z,156,12
hàn quốc,78,chiến quốc,82,chiến quốc,160,8
hình one piece,78,one piece,100,one piece,178,14
hundreds of,78,hundred,78,hundred,156,11
kiếm rồng,78,kiếm võng,82,kiếm võng,160,9
agentina,78,agent aika,78,agent aika,156,8
thời gian,78,thời gian vàng,100,thời gian vàng,178,9
bungou stray dogs dead apple,78,bungou stray dogs wan,100,bungou stray dogs,178,28
onepiece red,78,one piece z,78,one piece z,156,12
set doremon,78,doremon,100,doremon,178,11
đô ra ê mon,78,đôrêmon,57,ma đạn,135,11
h mông,77,hắc môn,73,hắc môn,150,6
sweet home,77,chi's sweet home,100,chi's sweet home,177,10
more than a marries couple but mot mother khi nào ra,77,more than a married couple but not lovers,100,more than a couple,177,52
nataka,77,nanbaka,77,nanbaka,154,6
spy x family truyện,77,spy x family,100,spy x family,177,19
son into you,77,bloom into you,80,bloom into you,157,12
coho festival,77,hina festival,77,hina festival,154,13
hunder,77,hundred,77,hundred,154,6
wakanda,77,aokana,77,aokana,154,7
chuyển sinh thành ma kiếm vạng năng,77,chuyển sinh thành kiếm,100,chuyển sinh thành kiếm,177,35
vạn cổ thần đế,77,vạn cổ thần thoại,88,vạn cổ thần thoại,165,14
truyện chuyển sinh thành slime,77,chuyển sinh thành kiếm,86,vào ngày đó tôi đã chuyển sinh thành con slime,163,30
toshiko,77,toriko,77,toriko,154,7
tuyệt đối cưng chiều,77,tuyệt đại song kiều,77,tuyệt đại song kiều,154,20
egame,77,new game,73,gamers,150,5
prison tycoon,77,prison school,77,prison school,154,13
batman,77,bakuman,77,bakuman,154,6
battle spirits card list,77,battle spirits ,100,battle spirits ,177,24
2 sao,77,2 season,100,sao 2,177,5
mai tsubasa,77,captain tsubasa,78,ore-tachi ni tsubasa wa nai,155,11
happy kuso life,77,happy sugar life,80,happy sugar life,157,15
dỏemon,77,deaimon,77,deaimon,154,6
truyện chainsaw man,77,chainsaw man,100,chainsaw man,177,19
sao mai,77,sao ii,77,sao ii,154,7
truyện yêu thần ký,76,yêu thần ký,100,yêu thần ký,176,18
nguyên bản,76,nguyên long,74,nguyên long,150,10
sakamoto days,76,sakamoto desu ga,100,days,176,13
ta muoon tro thanh chu te bong toi,76,ta muốn trở thành chúa tể bóng tối,68,ta muốn trở thành chúa tể bóng tối,144,34
van gioi than chu,76,vạn giới thần chủ,76,vạn giới thần chủ,152,17
ego play,76,let's go play,67,love all play,143,8
naruto vs b,76,naruto ova,100,naruto,176,11
hoàng tử chris,76,hoàng tử tennis,74,hoàng tử tennis,150,14
pokemon jouneys,76,pokemon movies,100,pokemon,176,15
io games,76,king of games,77,trapped in a dating sim the world of otome games is tough for mobs otomege sekai wa mob ni kibishii sekai desu mobseka,153,8
miss universe,76,martial universe,76,dragon ball heroes universe mission,152,13
nguyên tôn,76,nguyên long,78,nguyên long,154,10
gravity falls opening,76,gravity falls,100,gravity falls,176,21
pokemon journeys,76,pokemon the johto journeys,100,pokemon,176,16
goden gate,76,golden time,74,god eater,150,10
chuyển sinh thành chúa tể bóng tối,76,ta muốn trở thành chúa tể bóng tối,86,chuyển sinh thành kiếm,162,34
áo one piece red film,76,one piece film z,100,one piece,176,21
code đấu la đại lục vng,76,đấu la đại lục,100,đấu la đại lục,176,23
tình yêu mang theo,76,tình yêu giả tạo,73,tình yêu giả tạo,149,18
thả thí thiên hạ,76,thiên thượng thiên hạ,71,manh thê thần thực,147,16
logo world cup,75,road to world cup ,78,road to world cup ,153,14
ica,75,isuca,75,isuca,150,3
the gioi hoan my,75,thế giới hoàn mỹ,77,thế giới hoàn mỹ,152,16
ikea,75,aika,75,aika,150,4
aria,75,aika,100,sword art online progressive movie-hoshi naki yoru no aria,175,4
family,75,spy×family,100,spy x family,175,6
pandora,75,purandara,100,pandora hearts,175,7
figma,75,fma,75,fma,150,5
sika,75,aika,75,aika,150,4
tthê giới hòa mỹ,75,thế giới hoàn mỹ,83,thế giới hoàn mỹ,158,16
gvn,75,given,75,given,150,3
nrosuperhero,75,super hxeros,58,super hxeros,133,12
nhất niệm vĩnh hằng truyện tranh,75,nhất niệm vĩnh hằng,100,nhất niệm vĩnh hằng,175,32
asia,75,aika,75,aika,150,4
phép thuật,75,vua pháp thuật,100,vua pháp thuật remake,175,10
awin,75,ajin,75,ajin,150,4
transformers,75,terraformars,75,terraformars,150,12
mako oda,75,baki oda,75,baki oda,150,8
asin,75,ajin,75,ajin,150,4
pain,75,ajin,100,bofuri i don't want to get hurt so i'll max out my defense i hate being in pain so i think i'll make a full defense build i hate getting hurt so i put all my skill points into defense,175,4
jaki,75,baki,75,baki,150,4
lod,75,blood,75,blood,150,3
gaito,75,gto,75,gto,150,5
